Fecha,Year,Blanco,Negro,Asiatico,Hispano,Hombre,Mujer,Estado,Blanco_Cantidad,Negro_Cantidad,Asiatico_Cantidad,Hispano_Cantidad,Hombre_Cantidad,Mujer_Cantidad
2015-01-01,2015,4.9,10.3,4.0,6.7,5.3,5.0,United States,9437086,3906151,670212,3701167,8098389,7998910
2015-02-01,2015,4.7,10.1,4.0,6.800000000000001,5.2,4.9,United States,9051899,3830303,670212,3756408,7945589,7838931
2015-03-01,2015,4.8,9.9,3.2,6.800000000000001,5.1,4.9,United States,9244492,3754456,536169,3756408,7792789,7838931
2015-04-01,2015,4.7,9.7,4.4,6.800000000000001,5.0,5.0,United States,9051899,3678608,737233,3756408,7639990,7998910
2015-05-01,2015,4.8,10.3,4.1,6.800000000000001,5.2,5.1,United States,9244492,3906151,686967,3756408,7945589,8158888
2015-06-01,2015,4.6,9.7,3.9,6.7,4.8,4.7,United States,8859305,3678608,653456,3701167,7334390,7518975
2015-07-01,2015,4.5,9.1,3.9,6.9,4.8,4.8,United States,8666712,3451065,653456,3811649,7334390,7678953
2015-08-01,2015,4.4,9.4,3.4,6.600000000000001,4.7,4.6,United States,8474118,3564837,569680,3645925,7181590,7358997
2015-09-01,2015,4.4,9.3,3.5,6.2,4.7,4.6,United States,8474118,3526913,586435,3424960,7181590,7358997
2015-10-01,2015,4.4,9.0,3.5,6.3,4.7,4.6,United States,8474118,3413142,586435,3480201,7181590,7358997
2015-11-01,2015,4.4,9.4,3.9,6.4,4.8,4.6,United States,8474118,3564837,653456,3535443,7334390,7358997
2015-12-01,2015,4.4,8.5,4.1,6.2,4.6,4.5,United States,8474118,3223523,686967,3424960,7028790,7199019
